Time,Temperature,Humidity,AirQuality
2024-01-08 16:34:04,27.1,36.1,High
2024-01-08 16:34:12,27.1,36.1,High
2024-01-08 16:34:14,27.2,36.1,High
2024-01-08 16:34:16,27.2,36.1,High
2024-01-08 16:34:18,27.2,49.6,High
2024-01-08 16:34:21,27.2,44.8,High
2024-01-08 16:34:23,27.2,41.4,High
2024-01-08 16:34:25,27.2,39.2,High
2024-01-08 16:34:30,27.2,51.9,High
2024-01-08 16:34:32,27.2,53.0,High
2024-01-08 16:34:34,27.2,52.5,High
2024-01-08 16:34:36,27.2,49.5,High
2024-01-08 16:34:39,27.2,47.0,High
2024-01-08 16:34:41,27.2,46.9,High
2024-01-08 16:34:43,27.2,46.6,High
2024-01-08 16:34:45,27.2,46.6,High
2024-01-08 16:34:48,27.2,45.6,High
2024-01-08 16:34:50,27.2,48.4,High
2024-01-08 16:34:52,27.2,46.0,High
2024-01-08 16:34:55,27.2,43.0,High
2024-01-08 16:34:57,27.2,41.8,High
2024-01-08 16:34:59,27.2,41.6,High
2024-01-08 16:35:01,27.2,40.8,High
2024-01-08 16:35:04,27.2,40.3,High
2024-01-08 16:35:06,27.2,39.8,High
2024-01-08 16:35:08,27.2,39.6,High
2024-01-08 16:35:10,27.2,39.2,High
2024-01-08 16:35:13,27.2,39.0,High
2024-01-08 16:35:15,27.2,39.3,High
2024-01-08 16:35:17,27.2,39.1,High
2024-01-08 16:35:22,27.2,38.5,High
2024-01-08 16:35:24,27.2,38.1,High
2024-01-08 16:35:26,27.2,38.1,High
2024-01-08 16:35:28,27.2,38.1,High
2024-01-08 16:35:31,27.2,38.3,High
2024-01-08 16:35:33,27.2,38.5,High
2024-01-08 16:35:37,27.2,37.5,High
2024-01-08 16:35:40,27.2,37.6,High
2024-01-08 16:35:42,27.2,37.9,High
2024-01-08 16:35:44,27.2,37.5,High
2024-01-08 16:35:49,27.3,38.0,High
2024-01-08 16:35:51,27.3,40.7,High
2024-01-08 16:35:53,27.3,42.3,High
2024-01-08 16:35:55,27.3,40.6,High
2024-01-08 16:35:58,27.3,38.9,High
2024-01-08 16:36:00,27.2,38.2,High
2024-01-08 16:36:02,27.3,37.9,High
2024-01-08 16:36:05,27.3,37.6,High
2024-01-08 16:36:07,27.3,37.4,High
2024-01-08 16:36:09,27.3,37.3,High
2024-01-08 16:36:14,27.3,37.2,High
2024-01-08 16:36:16,27.3,37.0,High
2024-01-08 16:36:18,27.3,36.7,High
2024-01-08 16:36:20,27.3,36.6,High
2024-01-08 16:36:25,27.3,36.5,High
2024-01-08 16:36:27,27.3,36.5,High
2024-01-08 16:36:29,27.3,36.5,High
2024-01-08 16:36:32,27.3,36.4,High
2024-01-08 16:36:34,27.3,36.4,High
2024-01-08 16:36:36,27.3,36.4,High
2024-01-08 16:36:41,27.3,36.3,High
2024-01-08 16:36:45,27.3,36.2,High
2024-01-08 16:36:56,27.3,36.1,High
2024-01-08 16:36:59,27.3,36.1,High
2024-01-08 16:37:01,27.3,36.1,High
2024-01-08 16:37:03,27.3,36.1,High
2024-01-08 16:37:05,27.3,36.1,High
2024-01-08 16:37:08,27.3,36.1,High
2024-01-08 16:37:10,27.3,36.1,High
2024-01-08 16:37:12,27.3,36.1,High
2024-01-08 16:37:15,27.3,36.1,High
2024-01-08 16:37:17,27.3,36.0,High
2024-01-08 16:37:19,27.3,36.1,High
2024-01-08 16:37:21,27.3,36.0,High
2024-01-08 16:37:24,27.3,36.0,High
2024-01-08 16:37:26,27.3,36.0,High
2024-01-08 16:37:28,27.3,36.0,High
2024-01-08 16:37:30,27.3,36.0,High
2024-01-08 16:37:33,27.3,35.9,High
2024-01-08 16:37:35,27.3,35.9,High
2024-01-08 16:37:37,27.3,36.0,High
2024-01-08 16:37:39,27.3,36.0,High
2024-01-08 16:37:42,27.3,35.9,High
2024-01-08 16:37:44,27.3,36.0,High
2024-01-08 16:37:46,27.3,36.0,High
2024-01-08 16:37:48,27.3,35.9,High
2024-01-08 16:37:51,27.3,35.9,High
2024-01-08 16:37:57,27.3,35.9,High
2024-01-08 16:38:00,27.3,35.9,High
2024-01-08 16:38:02,27.3,35.9,High
2024-01-08 16:38:04,27.3,35.9,High
2024-01-08 16:38:06,27.3,35.9,High
2024-01-08 16:38:09,27.3,35.9,High
2024-01-08 16:38:11,27.3,35.8,High
2024-01-08 16:38:13,27.3,35.8,High
2024-01-08 16:38:15,27.3,35.8,High
2024-01-08 16:38:25,27.3,35.9,High
2024-01-08 16:38:27,27.3,35.9,High
2024-01-08 16:38:29,27.3,35.9,High
2024-01-08 16:38:31,27.3,35.9,High
2024-01-08 16:38:34,27.3,35.9,High
2024-01-08 16:38:36,27.3,35.9,High
2024-01-08 16:38:38,27.3,35.9,High
2024-01-08 16:38:40,27.3,35.9,High
2024-01-08 16:38:43,27.3,35.8,High
2024-01-08 16:38:45,27.3,35.9,High
2024-01-08 16:38:47,27.3,35.9,High
2024-01-08 16:38:49,27.3,35.9,High
2024-01-08 16:38:52,27.3,35.9,High
2024-01-08 16:38:56,27.3,35.9,High
2024-01-08 16:38:58,27.3,35.9,High
2024-01-08 16:39:01,27.3,35.8,High
2024-01-08 16:39:03,27.3,35.8,High
2024-01-08 16:39:05,27.3,35.8,High
2024-01-08 16:39:07,27.3,35.8,High
2024-01-08 16:39:10,27.3,35.8,High
2024-01-08 16:39:12,27.3,35.8,High
2024-01-08 16:39:14,27.3,35.8,High
2024-01-08 16:39:16,27.3,35.8,High
2024-01-08 16:39:21,27.3,35.8,High
2024-01-08 16:39:23,27.3,35.8,High
2024-01-08 16:39:25,27.3,35.8,High
2024-01-08 16:39:28,27.3,35.8,High
2024-01-08 16:39:30,27.3,35.8,High
2024-01-08 16:39:32,27.3,35.8,High
2024-01-08 16:39:35,27.3,35.7,High
2024-01-08 16:39:37,27.3,35.7,High
2024-01-08 16:39:39,27.3,35.7,High
2024-01-08 16:39:41,27.3,35.7,High
2024-01-08 16:39:44,27.3,35.7,High
2024-01-08 16:39:46,27.3,35.7,High
2024-01-08 16:39:48,27.3,35.7,High
2024-01-08 16:39:50,27.3,35.7,High
2024-01-08 16:39:53,27.3,35.7,High
2024-01-08 16:39:55,27.3,35.7,High
2024-01-08 16:39:57,27.3,35.7,High
2024-01-08 16:39:59,27.3,35.7,High
2024-01-08 16:40:02,27.3,35.7,High
2024-01-08 16:40:04,27.3,35.7,High
2024-01-08 16:40:08,27.3,35.6,High
2024-01-08 16:40:11,27.4,35.6,High
2024-01-08 16:40:13,27.3,35.7,High
2024-01-08 16:40:15,27.3,35.7,High
2024-01-08 16:40:20,27.4,35.7,High
2024-01-08 16:40:22,27.4,35.8,High
2024-01-08 16:40:24,27.3,35.8,High
2024-01-08 16:40:26,27.3,35.7,High
2024-01-08 16:40:31,27.3,35.8,High
2024-01-08 16:40:33,27.3,35.7,High
2024-01-08 16:40:35,27.3,35.7,High
2024-01-08 16:40:38,27.3,35.7,High
2024-01-08 16:40:40,27.4,35.7,High
2024-01-08 16:40:42,27.4,35.7,High
2024-01-08 16:40:45,27.3,35.7,High
2024-01-08 16:40:51,27.3,35.7,High
2024-01-08 16:40:54,27.3,35.7,High
