name,time,device_id,humidity,temperature
environment,1715057115000000000,,56.82,25.71
environment,1715057145000000000,,56.3,25.74
environment,1715057175000000000,,56.19,25.75
environment,1715057205000000000,,56.08,25.79
environment,1715057235000000000,,56.26,25.84
environment,1715057265000000000,,55.84,25.89
environment,1715057295000000000,,55.81,25.93
environment,1715057325000000000,,55.61,25.98
environment,1715057355000000000,,55.48,26.05
environment,1715057385000000000,,55.29,26.09
environment,1715057415000000000,,55.27,26.14
environment,1715057445000000000,,54.99,26.25
environment,1715057475000000000,,54.66,26.36
environment,1715057505000000000,,54.34,26.39
environment,1715057535000000000,,54.07,26.47
environment,1715057565000000000,,53.96,26.53
environment,1715057595000000000,,53.25,26.59
environment,1715057625000000000,,52.66,26.59
environment,1715057655000000000,,50,26.55
environment,1715057685000000000,,48.66,26.49
environment,1715057715000000000,,48.45,26.35
environment,1715057962000000000,,42.36,25.16
environment,1715057992000000000,,41.89,25.32
environment,1715058022000000000,,41.46,25.49
environment,1715058052000000000,,41.09,25.61
environment,1715058082000000000,,40.79,25.73
environment,1715058112000000000,,40.57,25.88
environment,1715058142000000000,,40.3,25.99
environment,1715058172000000000,,39.91,26.14
environment,1715058202000000000,,39.82,26.25
environment,1715058232000000000,,39.37,26.44
environment,1715058262000000000,,39.03,26.61
environment,1715075178000000000,,38.71,26.73
environment,1715075208000000000,,38.44,26.87
environment,1715075238000000000,,38.19,27.01
environment,1715075268000000000,,37.88,27.12
environment,1715075298000000000,,37.74,27.16
environment,1715075328000000000,,37.56,27.24
environment,1715075358000000000,,37.47,27.3
environment,1715075388000000000,,37.22,27.39
environment,1715075418000000000,,37.09,27.44
environment,1715075448000000000,,37,27.45
environment,1715075478000000000,,37,27.48
environment,1715075508000000000,,36.86,27.51
environment,1715075538000000000,,36.82,27.5
environment,1715075568000000000,,36.84,27.52
environment,1715075598000000000,,36.76,27.56
environment,1715075628000000000,,36.71,27.59
environment,1715075658000000000,,36.55,27.65
environment,1715075688000000000,,36.37,27.76
environment,1715075718000000000,,36.32,27.81
environment,1715075748000000000,,36.16,27.88
environment,1715075778000000000,,36.08,27.92
environment,1715075808000000000,,35.9,27.97
environment,1715075838000000000,,35.92,27.93
environment,1715075868000000000,,36.06,27.86
environment,1715075898000000000,,36.17,27.79
environment,1715075928000000000,,36.28,27.74
environment,1715075958000000000,,36.28,27.78
environment,1715075988000000000,,36.2,27.8
environment,1715076018000000000,,36.22,27.73
environment,1715076048000000000,,36.41,27.66
environment,1715076078000000000,,36.34,27.69
environment,1715076108000000000,,36.3,27.71
environment,1715076138000000000,,36.3,27.71
environment,1715076168000000000,,36.34,27.71
environment,1715076198000000000,,36.24,27.79
environment,1715076228000000000,,36.31,27.76
environment,1715076258000000000,,36.22,27.82
environment,1715076288000000000,,36.05,27.86
environment,1715076318000000000,,36.05,27.88
environment,1715076348000000000,,36.08,27.91
environment,1715076378000000000,,36,27.95
environment,1715076408000000000,,35.87,28.01
environment,1715076438000000000,,35.8,28.04
environment,1715076468000000000,,35.77,28.03
environment,1715076498000000000,,35.75,28.07
environment,1715076528000000000,,35.91,28.03
environment,1715076558000000000,,35.73,28.01
environment,1715076588000000000,,35.88,27.94
environment,1715076618000000000,,36.08,27.85
environment,1715076648000000000,,36.23,27.89
environment,1715076678000000000,,35.99,27.97
environment,1715076708000000000,,35.96,27.91
environment,1715076738000000000,,36.12,27.88
environment,1715076768000000000,,35.9,27.96
environment,1715076798000000000,,36.03,27.88
environment,1715076828000000000,,35.99,27.87
environment,1715076858000000000,,36.21,27.7
environment,1715076888000000000,,36.46,27.57
environment,1715076918000000000,,36.55,27.6
environment,1715076948000000000,,36.55,27.58
environment,1715076978000000000,,36.5,27.66
environment,1715077008000000000,,36.28,27.79
environment,1715077038000000000,,36.25,27.8
environment,1715077068000000000,,36.25,27.77
environment,1715077098000000000,,36.23,27.76
environment,1715077128000000000,,36.29,27.75
environment,1715077158000000000,,36.22,27.83
environment,1715077188000000000,,36.16,27.79
environment,1715077218000000000,,36.43,27.7
environment,1715077248000000000,,36.21,27.83
environment,1715077278000000000,,36.31,27.86
environment,1715077308000000000,,36.2,27.84
environment,1715077338000000000,,36.26,27.78
environment,1715077368000000000,,36.31,27.79
environment,1715077398000000000,,36.32,27.77
environment,1715077428000000000,,36.71,27.73
environment,1715077458000000000,,37.69,27.61
environment,1715077488000000000,,36.66,27.62
environment,1715077518000000000,,36.65,27.62
environment,1715077548000000000,,36.39,27.8
environment,1715077578000000000,,36.24,27.84
environment,1715077608000000000,,36.19,27.89
environment,1715077638000000000,,35.99,27.95
environment,1715077668000000000,,35.91,28.03
environment,1715077698000000000,,35.71,28.16
environment,1715077728000000000,,35.58,28.15
environment,1715077758000000000,,35.62,28.12
environment,1715077788000000000,,35.59,28.1
environment,1715077818000000000,,35.78,28.02
environment,1715077848000000000,,35.74,28.05
environment,1715077878000000000,,35.63,28.13
environment,1715077908000000000,,35.53,28.2
environment,1715077938000000000,,35.49,28.21
environment,1715077968000000000,,35.71,28.14
environment,1715077998000000000,,35.9,28.02
environment,1715078028000000000,,35.82,28.02
environment,1715078058000000000,,35.78,28.07
environment,1715078088000000000,,35.68,28.12
environment,1715078118000000000,,35.64,28.13
environment,1715078148000000000,,35.69,28.09
environment,1715078178000000000,,35.78,28.07
environment,1715078208000000000,,35.84,28.03
environment,1715078238000000000,,36.03,27.95
environment,1715078268000000000,,36.01,28.01
environment,1715078298000000000,,35.89,28.02
environment,1715078328000000000,,35.83,28.08
environment,1715078358000000000,,36.25,28
environment,1715078388000000000,,36.21,27.94
environment,1715078418000000000,,35.9,28.06
environment,1715078448000000000,,35.93,27.93
environment,1715078478000000000,,36.26,27.75
environment,1715078508000000000,,36.71,27.57
environment,1715078538000000000,,36.92,27.45
environment,1715078568000000000,,37.06,27.37
environment,1715078598000000000,,36.88,27.53
environment,1715078628000000000,,36.66,27.6
environment,1715078658000000000,,36.81,27.54
environment,1715078688000000000,,36.74,27.6
environment,1715078718000000000,,36.66,27.73
